Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000003756.17,3597,3756,2889,3699,710,207,240,750
ENSG00000003987.14,42,63,27,23,30,8,9,38
ENSG00000003989.18,779,923,583,633,145,32,108,318
ENSG00000004059.11,2840,3270,2369,4002,736,311,377,1012
ENSG00000004139.14,364,426,520,650,33,12,37,98
ENSG00000004142.12,4180,4811,5408,7502,1220,450,666,1584
ENSG00000004399.13,258,255,85,90,156,67,68,223
ENSG00000004455.18,7357,8945,8524,9315,3560,1221,1128,3143
ENSG00000004468.13,1,3,9,7,2,1,0,4
ENSG00000004478.8,7701,9940,12036,13881,3125,1021,1390,3397
ENSG00000004487.18,4739,5697,3773,4169,1832,622,735,2000
ENSG00000004534.15,7763,8459,4895,5835,552,173,221,565
ENSG00000004660.15,496,673,632,721,101,64,114,234
ENSG00000004700.16,1318,1573,1608,1624,2369,826,656,1855
ENSG00000004766.17,699,879,1143,1082,963,303,371,1060
ENSG00000004776.13,30,32,21,29,6,0,0,5
ENSG00000004777.19,1238,1163,675,912,32,23,27,64
ENSG00000004779.10,2298,2902,2926,4236,860,304,299,847
ENSG00000004799.8,0,0,2,1,49,15,23,66
ENSG00000004809.14,7,10,12,14,2,0,1,3
ENSG00000004838.14,76,66,73,90,9,0,2,8
ENSG00000004846.17,8,17,41,45,3,1,0,8
ENSG00000004848.8,39,43,45,79,3,1,2,6
ENSG00000004864.14,1270,1691,1718,1897,1011,314,425,1096
ENSG00000004866.22,6058,6008,3963,5484,481,183,250,647
ENSG00000004897.12,6038,7517,6791,6819,13997,4251,3372,9790
ENSG00000004939.16,6,2,6,5,1,0,0,7
ENSG00000004948.16,1,1,0,0,0,0,0,1
ENSG00000004961.15,1059,1244,859,1097,749,289,352,884
ENSG00000004975.12,2339,2677,1527,2049,642,266,300,786
ENSG00000005001.10,9,8,6,7,8,2,5,15
ENSG00000005007.14,3736,4481,3097,3703,452,145,181,407
ENSG00000005020.13,2669,2970,2457,2774,1040,408,334,1187
ENSG00000005022.6,5823,7116,6955,8487,3049,1022,1043,2879
ENSG00000005059.16,19,28,36,45,645,201,146,401
ENSG00000005073.6,8,12,4,2,241,70,83,222
ENSG00000005075.16,436,536,489,821,293,120,202,407
ENSG00000005100.13,2029,2453,1738,2071,361,117,200,511
ENSG00000005102.14,0,0,0,0,5,1,2,6
ENSG00000005108.17,92,125,6,9,1,0,0,2
ENSG00000005156.12,2277,2638,2769,3021,587,214,394,1039
ENSG00000005175.10,5057,5544,5800,6180,2804,772,949,2740
ENSG00000005187.12,890,932,1747,1849,64,19,34,135
ENSG00000005189.20,777,872,739,771,107,53,65,175
ENSG00000005194.15,1129,1365,1167,1661,598,187,271,793
ENSG00000005206.17,1084,1094,737,1108,83,48,74,145
ENSG00000005238.20,1399,1404,849,1494,528,203,158,378
ENSG00000005243.10,0,2,4,4,13,9,14,24
ENSG00000005249.14,1436,1529,1220,1231,66,25,24,107
ENSG00000005302.19,2314,2912,1603,1826,2602,843,818,2219
ENSG00000005339.15,4927,5657,3260,4028,1431,456,420,1078
ENSG00000005379.17,215,232,137,225,104,46,78,169
ENSG00000005381.9,1,2,0,0,0,0,0,0
ENSG00000005421.9,2,3,0,2,3,0,2,8
ENSG00000005436.14,1379,1648,1532,1600,701,243,324,870
ENSG00000005448.17,459,542,339,539,788,326,164,401
ENSG00000005469.12,999,1282,1135,1435,320,124,176,432
ENSG00000005471.19,3,3,5,14,7,4,4,7
ENSG00000005483.23,12660,13769,6702,7271,2616,892,470,1613
ENSG00000005486.17,1398,1441,718,1068,339,158,156,377
ENSG00000005513.11,172,172,332,479,33,6,18,39
ENSG00000005700.15,4300,4672,5315,5837,1400,442,487,1342
ENSG00000005801.18,1736,2152,2022,2098,589,190,260,724
ENSG00000005810.20,6155,8104,7672,8265,560,173,198,599
ENSG00000005812.11,3118,3859,2779,2722,990,310,211,615
ENSG00000005844.19,24,13,17,5,1,0,0,1
ENSG00000005882.12,1386,1454,1355,1716,444,163,176,571
ENSG00000005884.18,672,678,359,595,7070,2785,1946,5204
ENSG00000005889.16,2433,2869,1520,1442,3435,1029,1075,2907
ENSG00000005893.17,6337,7088,7233,7101,5072,1675,1655,4545
ENSG00000005961.19,15,10,4,8,26,15,15,44
ENSG00000005981.13,0,0,0,0,1,0,3,3
ENSG00000006007.12,9215,9477,2628,3618,4387,1418,1032,2747
ENSG00000006015.18,369,430,505,983,148,75,123,292
ENSG00000006016.12,30,31,10,25,26,8,19,33
ENSG00000006025.13,71,100,3,25,224,101,85,220
ENSG00000006042.12,907,996,1090,1647,740,302,324,925
ENSG00000006047.13,188,211,140,176,2,0,0,5
ENSG00000006059.4,0,0,0,0,0,0,0,0
ENSG00000006062.18,219,264,304,435,563,212,280,762
ENSG00000006071.16,278,251,274,371,5,2,7,14
ENSG00000006116.4,0,0,0,0,2,0,0,0
ENSG00000006118.15,2365,2734,1494,3182,974,340,429,977
ENSG00000006125.18,10629,12526,12079,13455,4128,1466,1687,4434
ENSG00000006128.12,0,1,0,0,0,0,0,1
ENSG00000006194.12,1498,1684,1429,2049,68,25,30,97
ENSG00000006210.7,2,2,1,2,5,0,2,3
ENSG00000006282.22,4274,4939,3876,5567,597,237,337,824
ENSG00000006283.18,32,57,9,14,55,19,26,57
ENSG00000006327.14,524,591,231,385,2660,960,1747,3810
ENSG00000006377.11,1,0,0,0,1,0,2,2
ENSG00000006432.16,921,1055,589,800,3611,1245,1238,3077
ENSG00000006451.8,2698,2898,2973,3598,1575,506,490,1260
ENSG00000006453.14,2403,2667,2645,3044,811,284,255,602
ENSG00000006459.11,1728,1798,941,836,324,83,91,236
ENSG00000006468.15,15030,17307,11372,11365,1925,616,799,2283
ENSG00000006530.18,2456,2597,3207,3880,859,302,451,1280
ENSG00000006534.17,156,129,178,167,374,191,334,810
ENSG00000006555.11,0,1,2,2,93,29,30,93
ENSG00000006576.17,2112,2562,1864,1733,753,259,255,834
ENSG00000006606.9,37,55,2,4,198,64,72,182
ENSG00000006607.14,2734,3274,2175,2442,330,120,105,372
ENSG00000006611.17,12,9,1,3,1,0,0,4
ENSG00000006625.18,2288,2620,4937,6436,469,157,243,541
ENSG00000006634.8,2109,2439,2897,2837,1149,395,496,1371
ENSG00000006638.13,6,2,2,2,18,10,19,31
ENSG00000006652.15,1048,1050,960,975,188,66,70,198
ENSG00000006659.13,0,0,0,0,0,0,0,0
ENSG00000006695.12,649,682,952,1090,659,252,385,1063
ENSG00000006704.11,1319,1433,713,955,208,67,112,286
ENSG00000006712.15,5772,6815,5400,6814,706,180,289,789
ENSG00000006715.16,1798,2182,2240,2604,1926,631,728,1913
ENSG00000006740.18,1029,1026,649,925,226,72,102,281
ENSG00000006744.19,2556,2940,3289,4115,492,141,297,672
ENSG00000006747.15,46,70,74,79,12,5,6,18
ENSG00000006756.16,1124,1277,1252,1633,284,103,127,319
ENSG00000006757.12,1078,1233,1537,2276,455,192,263,647
ENSG00000006788.14,9,21,6,14,0,0,0,0
ENSG00000006831.10,1854,2189,1734,2241,414,152,174,513
ENSG00000006837.12,47,75,56,78,5,2,3,12
ENSG00000007001.14,0,0,1,2,0,0,2,0
ENSG00000007038.11,1,0,1,1,0,0,0,0
ENSG00000007047.16,542,616,339,514,86,31,44,106
ENSG00000007062.12,2,2,4,6,12,4,1,2
ENSG00000007080.11,2398,2483,2514,4199,618,220,361,821
ENSG00000007129.18,1,0,0,0,0,0,0,0
ENSG00000007168.15,5557,6938,5214,5542,3652,1234,956,2773
ENSG00000007171.19,0,1,0,1,18,5,11,15
ENSG00000007174.18,107,101,70,89,1,0,0,0
ENSG00000007202.16,13018,15911,11321,14248,5019,1544,1687,4708
ENSG00000007216.16,0,1,0,1,0,0,0,0
ENSG00000007237.19,22,17,5,9,1,2,4,2
ENSG00000007255.10,173,162,188,356,43,19,31,66
ENSG00000007264.15,9,6,5,13,7,6,7,23
ENSG00000007306.15,0,0,0,0,0,0,0,0
ENSG00000007312.14,0,0,0,0,0,0,1,0
ENSG00000007314.12,0,1,2,0,2,1,2,3
ENSG00000007341.19,878,996,1423,1533,554,183,225,588
ENSG00000007350.18,10,16,7,4,2,0,0,0
ENSG00000007372.25,0,2,0,3,280,81,123,301
ENSG00000007376.8,629,814,560,1019,554,196,371,877
ENSG00000007384.15,1628,1947,1040,1351,408,132,117,313
ENSG00000007392.17,3987,4511,2380,2720,115,31,35,117
ENSG00000007402.12,347,281,291,479,88,28,46,114
ENSG00000007516.15,281,293,220,269,77,33,42,76
ENSG00000007520.4,345,412,393,891,148,48,103,262
ENSG00000007541.17,760,791,492,851,163,71,85,244
ENSG00000007545.16,455,590,385,521,32,14,8,24
ENSG00000007866.22,1224,1400,754,1058,288,114,78,239
ENSG00000007908.16,0,4,2,2,0,0,0,0
ENSG00000007923.17,2565,2920,2517,3012,923,322,367,895
ENSG00000007933.13,6,6,4,3,2,1,3,3
ENSG00000007944.16,1015,1057,721,963,303,103,173,423
ENSG00000007952.18,36,34,52,42,9,0,5,10
ENSG00000007968.7,243,342,361,333,59,27,36,120
ENSG00000008018.9,5966,7852,9083,9263,2503,833,893,2185
ENSG00000008056.14,11,3,4,6,41,7,3,15
ENSG00000008083.14,1950,2309,1358,1691,339,126,137,315
ENSG00000008086.13,468,539,461,464,2229,750,491,1475
ENSG00000008118.10,2,2,1,4,14,7,6,20
ENSG00000008128.23,92,95,54,90,1,0,0,1
ENSG00000008130.15,1893,2181,1866,2050,168,70,102,293
ENSG00000008196.13,1,0,1,2,0,0,1,1
ENSG00000008197.5,0,0,0,0,0,0,0,0
ENSG00000008226.20,31,30,29,24,3,1,0,4
ENSG00000008256.17,1234,1477,2083,2225,155,47,74,222
ENSG00000008277.15,705,857,1149,1303,392,131,172,425
ENSG00000008282.10,5437,6652,6669,5933,2529,906,748,2089
ENSG00000008283.16,4164,5084,4769,5107,1568,548,824,2078
ENSG00000008294.22,2364,2610,2286,2463,1759,520,566,1628
ENSG00000008300.17,809,915,309,457,87,45,37,83
ENSG00000008311.16,1481,1724,2320,2536,1057,343,440,1377
ENSG00000008323.16,76,72,42,44,38,13,16,59
ENSG00000008324.12,370,448,354,470,85,31,38,102
ENSG00000008382.16,160,163,188,382,29,14,34,53
ENSG00000008394.13,8057,9361,16947,20690,5702,1945,1891,5800
ENSG00000008405.12,1120,1286,694,826,704,222,213,438
ENSG00000008438.5,0,2,6,3,2,2,3,3
ENSG00000008441.19,29315,32229,27349,38229,1576,522,543,1598
ENSG00000008513.17,32073,35057,27535,34998,3761,1273,968,2417
ENSG00000008516.19,42,29,26,29,8,7,5,21
ENSG00000008517.19,749,862,351,376,427,180,184,485
ENSG00000008710.20,2408,2295,1464,2263,202,90,108,272
ENSG00000008735.14,422,507,387,845,23,3,4,9
ENSG00000008838.21,2207,2764,1931,2720,515,175,272,583
ENSG00000008853.18,399,446,460,651,288,84,165,434
ENSG00000008869.12,1875,2195,2014,2303,794,285,324,788
ENSG00000008952.17,7837,8921,9378,11578,444,105,151,541
ENSG00000008988.11,8704,10443,10425,15819,2215,717,865,2097
ENSG00000009307.17,41323,46832,42576,47359,11834,3667,3714,10540
ENSG00000009335.19,5752,6796,5912,6545,3278,1052,1258,3042
ENSG00000009413.17,2008,2538,1504,1559,1044,338,471,1286
ENSG00000009694.14,1281,1424,468,559,18,9,1,16
ENSG00000009709.13,0,0,0,1,1,0,0,0
ENSG00000009724.18,216,232,182,218,73,22,33,98
ENSG00000009765.15,501,545,619,572,0,2,2,1
ENSG00000009780.16,546,569,604,684,267,81,111,320
ENSG00000009790.15,18,22,7,16,7,3,1,5
ENSG00000009830.13,1359,1633,971,1136,203,69,87,230
ENSG00000009844.16,4157,4725,4302,4550,2411,857,862,2552
ENSG00000009950.16,270,239,268,332,32,14,25,61
ENSG00000009954.11,10079,11628,9112,9988,519,159,261,679
ENSG00000010017.13,3848,4008,2747,2904,682,224,240,737
ENSG00000010030.14,4,11,24,40,7,0,1,3
ENSG00000010072.16,695,873,779,863,313,105,129,403
ENSG00000010165.20,887,1141,1418,1897,824,283,497,1210
ENSG00000010219.14,877,1026,807,1030,331,101,167,463
ENSG00000010244.19,7330,8596,7971,9302,3514,1302,1351,3777
ENSG00000010256.12,3155,3586,2879,4982,2028,671,918,2208
ENSG00000010270.14,1660,1833,1863,2236,885,310,334,880
ENSG00000010278.15,42479,41756,29716,45053,2572,785,628,1792
ENSG00000010282.15,2,4,1,3,0,0,0,0
ENSG00000010292.13,3546,4163,4192,4060,3597,1259,1405,3858
ENSG00000010295.20,15,16,13,3,26,8,5,11
ENSG00000010310.9,2,2,1,4,15,8,2,15
ENSG00000010318.22,375,360,417,493,100,41,51,157
ENSG00000010319.7,351,336,353,405,10,4,5,13
ENSG00000010322.16,4662,5032,4012,5528,708,256,333,889
ENSG00000010327.10,16,12,5,8,6,2,2,9
ENSG00000010361.14,225,233,122,220,51,5,21,58
ENSG00000010379.16,10,11,10,13,0,0,1,1
ENSG00000010404.18,330,162,232,145,165,56,70,170
ENSG00000010438.17,0,1,1,4,47,15,5,27
ENSG00000010539.12,468,575,522,499,100,44,46,132
ENSG00000010610.10,15,20,9,19,0,0,0,0
ENSG00000010626.15,456,519,604,672,87,38,47,100
ENSG00000010671.18,7,4,9,8,10,2,4,19
ENSG00000010704.20,140,200,224,193,7,0,2,1
ENSG00000010803.18,2328,2529,2497,3053,463,153,194,644
ENSG00000010810.18,253,265,91,179,313,106,114,301
ENSG00000010818.11,2958,3419,1789,1910,1950,623,407,1146
ENSG00000010932.17,27,34,33,48,4,3,2,4
ENSG00000011007.13,3026,3600,2612,3118,714,246,293,799
ENSG00000011009.12,978,1121,749,1130,234,88,142,320
ENSG00000011021.23,993,1272,737,847,181,64,66,220
ENSG00000011028.14,9,4,13,13,332,120,101,275
ENSG00000011052.21,0,0,0,0,0,0,0,0
ENSG00000011083.9,0,0,0,0,0,1,0,0
ENSG00000011105.14,756,862,862,1359,360,145,218,538
ENSG00000011114.15,2691,3086,2259,2346,506,170,177,477
ENSG00000011132.12,370,414,294,470,176,69,97,273
ENSG00000011143.19,702,843,666,800,241,105,159,403
ENSG00000011198.10,1563,1738,1601,1727,1800,640,457,1338
ENSG00000011201.12,3,1,5,3,4326,1489,1302,3697
ENSG00000011243.19,3651,4010,2187,2746,634,191,212,587
ENSG00000011258.16,1979,2198,1871,1998,1711,582,551,1507
ENSG00000011260.14,1125,1293,1292,1518,269,89,116,326
ENSG00000011275.19,1488,1801,1138,1445,1140,391,462,1236
ENSG00000011295.16,4800,5519,3431,3677,615,246,246,774
ENSG00000011304.22,6626,8023,7621,9062,2878,970,903,2542
ENSG00000011332.22,250,238,216,278,51,22,31,88
ENSG00000011347.10,3978,3956,2783,3727,115,46,37,151
ENSG00000011376.12,2282,2615,3405,4228,690,226,380,1010
ENSG00000011405.14,6029,6639,4510,4390,2091,574,690,1880
ENSG00000011422.12,69,85,38,52,2205,963,692,1723
ENSG00000011426.11,4575,5394,6302,6096,10629,3369,3488,10092
ENSG00000011451.21,5098,5646,2374,3355,654,236,287,702
ENSG00000011454.18,5564,6430,5573,6126,427,129,148,426
ENSG00000011465.18,2,0,0,0,0,0,0,0
ENSG00000011478.13,132,145,112,183,132,54,73,182
ENSG00000011485.15,1521,1746,1779,2223,494,179,301,767
ENSG00000011523.15,577,566,750,878,404,164,226,681
ENSG00000011566.15,1515,1620,1236,1271,850,290,245,786
ENSG00000011590.14,48,49,81,122,2,1,4,17
ENSG00000011600.12,0,0,0,0,0,0,0,0
ENSG00000011638.11,570,639,436,515,226,76,89,210
ENSG00000011677.13,179,218,181,236,255,69,64,181
ENSG00000012048.26,2072,2480,3458,3563,674,255,329,914
ENSG00000012061.17,465,575,529,775,801,333,340,786
ENSG00000012124.17,14,20,7,3,0,0,2,0
ENSG00000012171.20,487,531,243,532,299,121,88,244
ENSG00000012174.12,1878,2283,2266,2283,2872,1112,1260,3393
ENSG00000012211.13,521,647,431,673,116,37,63,138
ENSG00000012223.13,21,28,106,257,0,0,0,0
ENSG00000012232.10,1241,1424,868,1175,1436,501,581,1583
ENSG00000012504.15,2,4,0,1,0,0,0,0
ENSG00000012660.14,164582,203158,86541,96501,6637,2244,2869,7246
ENSG00000012779.12,16,14,7,11,59,23,20,35
ENSG00000012817.16,1947,2354,2081,2512,0,0,0,0
ENSG00000012822.16,3069,3084,1653,1918,1147,388,252,824
ENSG00000012963.15,1800,2044,1877,2189,522,163,202,539
ENSG00000012983.12,3468,3720,2256,2311,4195,1358,1040,2927
ENSG00000013016.16,570,694,710,1184,293,87,160,362
ENSG00000013275.8,3446,3977,3141,4393,1629,540,596,1643
ENSG00000013288.9,1876,2255,1893,2241,152,51,58,158
ENSG00000013293.6,0,2,0,0,3,1,2,0
ENSG00000013297.12,9,11,7,4,237,108,125,409
ENSG00000013306.16,3055,3535,3042,5457,4739,1717,2524,6235
ENSG00000013364.19,221,258,299,475,469,173,209,570
ENSG00000013374.17,3345,3879,4411,5124,986,317,418,1185
ENSG00000013375.17,1950,2506,2567,2750,1702,591,460,1367
ENSG00000013392.8,1585,2086,1857,2144,105,31,24,81
ENSG00000013441.17,11472,11641,4611,5038,2643,829,540,1232
ENSG00000013503.10,1353,1763,2623,2760,686,219,328,898
ENSG00000013523.12,1246,1349,1108,1527,125,56,94,264
ENSG00000013561.18,2437,2805,2363,2954,621,202,234,674
ENSG00000013563.14,439,481,268,415,71,33,41,91
ENSG00000013573.17,1144,1220,970,1193,257,85,136,338
ENSG00000013583.10,1337,1659,2122,2145,386,124,165,404
ENSG00000013588.10,3,4,9,5,11759,4153,2115,5767
ENSG00000013619.15,108,93,58,70,190,73,69,217
ENSG00000013725.14,0,0,0,0,10,3,6,14
ENSG00000013810.21,3979,4624,3701,4466,686,205,370,852
ENSG00000014123.10,3447,3761,4946,5166,739,289,346,973
ENSG00000014138.10,186,229,167,218,263,121,159,380
ENSG00000014164.7,232,286,207,332,240,110,96,314
ENSG00000014216.16,3914,4494,2800,4110,3392,1182,961,2502
ENSG00000014257.17,316,408,1202,1378,58,25,20,40
ENSG00000014641.21,2564,3076,2927,3608,1794,656,637,1674
ENSG00000014824.14,9357,10138,10440,12505,2078,739,545,1442
ENSG00000014914.21,211,295,195,187,855,375,241,620
ENSG00000014919.13,725,973,1020,1272,589,231,167,506
ENSG00000015133.20,4706,5266,3156,3933,126,50,53,185
ENSG00000015153.15,655,714,614,587,419,119,146,417
ENSG00000015171.21,6172,7227,7424,7847,1573,516,614,1777
ENSG00000015285.12,101,79,72,92,4,2,1,8
ENSG00000015413.10,2,0,0,1,0,0,0,0
ENSG00000015475.19,320,302,306,476,393,121,147,346
ENSG00000015479.20,283,243,243,251,77,14,30,101
ENSG00000015520.15,51,41,35,46,1,2,0,2
ENSG00000015532.10,818,913,829,1210,733,291,426,1125
ENSG00000015568.13,107,28,9,7,8,4,1,1
ENSG00000015592.17,68,76,20,147,0,0,0,0
ENSG00000015676.18,1861,2112,2090,3244,746,289,426,1083
ENSG00000016082.15,6,9,25,20,7,1,4,22
ENSG00000016391.11,1294,1487,1115,1331,41,19,39,109
ENSG00000016402.14,21,16,16,33,54,17,28,83
ENSG00000016490.16,0,0,0,0,0,0,0,0
ENSG00000016602.9,0,0,0,1,0,1,0,0
ENSG00000016864.19,1550,1712,1467,2067,860,351,400,936
ENSG00000017260.20,6353,7394,5712,6190,3044,1058,1006,2712
ENSG00000017427.17,269,308,80,91,0,1,0,0
ENSG00000017483.16,9,5,13,6,28,13,1,8
ENSG00000017797.13,3819,4579,3264,4049,239,82,95,318
ENSG00000018189.13,782,905,1004,1114,160,49,80,263
ENSG00000018236.15,0,0,0,0,866,308,264,779
ENSG00000018280.18,46,51,38,90,20,14,4,6
ENSG00000018408.15,134,189,174,198,2474,782,840,2611
ENSG00000018510.18,1880,2127,1761,1696,2596,798,903,2533
ENSG00000018607.9,0,0,0,0,0,0,0,0
ENSG00000018610.15,529,591,682,877,110,50,79,186
ENSG00000018625.15,30,22,7,5,30,17,10,24
ENSG00000018699.13,388,512,873,1010,639,236,356,924
ENSG00000018869.18,182,206,165,182,0,0,0,0
ENSG00000019102.12,5,2,3,14,27,12,14,23
ENSG00000019144.20,1196,1288,670,929,332,130,229,576
ENSG00000019169.11,1,3,2,2,36,14,30,52
ENSG00000019186.10,0,0,1,0,182,70,102,242
ENSG00000019485.14,49,48,61,67,168,52,82,216
ENSG00000019505.8,14,18,21,15,28,8,12,33
ENSG00000019549.13,785,990,455,500,726,224,213,604
ENSG00000019582.17,4,8,7,12,7,1,3,6
ENSG00000019991.18,0,0,0,0,69,16,16,49
ENSG00000019995.6,1701,1821,1254,1505,1143,312,241,688
ENSG00000020129.16,882,1203,1216,1599,299,116,150,336
ENSG00000020181.18,4,6,17,12,33,18,40,110
ENSG00000020219.9,0,1,0,0,1,0,0,0
ENSG00000020256.20,1413,1497,1308,1695,698,282,334,947
ENSG00000020426.11,1115,1150,1169,1249,2183,698,841,2180
ENSG00000020577.14,165,138,69,107,5473,1742,838,2086
ENSG00000020633.19,0,0,3,5,3,1,1,5
ENSG00000020922.13,1310,1602,2002,1909,328,132,215,506
ENSG00000021300.14,10752,11652,8874,12459,312,112,150,363
ENSG00000021355.13,0,0,4,1,719,238,168,507
ENSG00000021461.18,22,32,46,48,0,0,0,0
ENSG00000021488.13,17,14,6,10,1,1,0,2
ENSG00000021574.15,922,1149,1026,1110,1008,350,395,987
ENSG00000021645.20,78,53,83,95,222,63,78,210
ENSG00000021762.20,1370,1552,2533,3490,59,20,43,107
ENSG00000021776.11,2901,3526,3563,3750,2435,788,886,2440
ENSG00000021826.18,2021,2227,2600,2658,491,162,235,626
ENSG00000021852.14,0,0,0,0,0,0,0,1
ENSG00000022267.19,6,6,1,2,1464,450,406,1087
ENSG00000022277.13,1864,2164,2076,2508,1149,381,465,1202
ENSG00000022355.18,0,0,1,0,1,1,3,3
ENSG00000022556.16,1194,1457,1663,2235,0,0,0,0
ENSG00000022567.10,335,365,381,533,32,12,43,87
ENSG00000022840.17,3566,4195,3293,4445,1410,503,464,1190
ENSG00000022976.16,490,594,699,785,54,27,42,136
ENSG00000023041.12,3069,3058,2530,2786,1446,494,498,1490
ENSG00000023171.20,16,8,11,6,3613,1034,1155,3116
ENSG00000023191.17,1035,1115,1177,1981,910,332,409,1005
ENSG00000023228.15,6191,7265,7793,8710,2294,745,870,2458
ENSG00000023287.13,4530,4699,3988,4104,1469,436,384,1115
ENSG00000023318.9,3643,4558,6158,6643,2111,803,605,1690
ENSG00000023330.15,4356,5184,3079,3627,356,115,128,400
ENSG00000023445.17,587,736,1277,1306,627,169,165,475
ENSG00000023516.9,4882,5641,4297,4639,639,228,270,741
ENSG00000023572.10,1206,1539,1260,1324,153,39,65,159
ENSG00000023608.5,1015,1159,735,697,2382,699,767,2008
ENSG00000023697.13,760,850,995,1215,655,265,269,661
ENSG00000023734.11,13550,15225,16438,19394,1696,505,725,1921
ENSG00000023839.12,18,20,16,12,22,4,7,27
ENSG00000023892.12,615,693,813,1183,377,161,254,718
ENSG00000023902.14,150,132,47,120,436,140,185,463
ENSG00000023909.10,1570,1924,2129,2096,1865,532,553,1397
ENSG00000024048.11,1760,2258,1816,1850,2003,603,806,2188
ENSG00000024422.12,3,3,1,0,20,6,5,18
ENSG00000024526.17,733,886,1123,995,3482,1158,1278,3497
ENSG00000024862.18,304,310,405,505,296,117,113,299
ENSG00000025039.15,1264,1409,742,962,1058,350,306,805
ENSG00000025156.13,1347,1419,991,1051,430,124,146,415
ENSG00000025293.17,2981,3470,2997,3303,1220,409,483,1291
ENSG00000025423.11,111,117,88,127,13,4,8,23
ENSG00000025434.19,381,408,582,907,78,33,83,155
ENSG00000025708.14,214,208,279,542,72,31,43,114
ENSG00000025770.19,346,363,426,571,218,85,138,292
ENSG00000025772.8,2705,3204,2731,4008,5094,1955,2103,6216
ENSG00000025796.14,14643,16433,14957,16304,2928,851,813,2577
ENSG00000025800.14,3698,4144,3927,5352,1630,515,783,2239
ENSG00000026025.16,1762,2126,1628,1983,13549,4789,1690,4647
ENSG00000026036.23,45,59,24,37,16,1,24,53
ENSG00000026103.25,420,451,713,822,338,116,185,446
ENSG00000026297.17,639,649,700,850,96,50,47,104
ENSG00000026508.21,19,9,12,14,19797,6330,5978,17894
ENSG00000026559.14,161,167,240,374,291,122,177,475
ENSG00000026652.15,15,13,11,7,365,136,123,299
ENSG00000026751.17,0,0,1,5,30,7,5,12
ENSG00000026950.18,620,617,1031,1052,349,106,383,961
ENSG00000027001.10,1251,1505,1212,1687,843,277,339,926
ENSG00000027075.18,718,762,545,625,336,101,158,482
ENSG00000027644.5,1,0,0,3,3,0,4,2
ENSG00000027697.16,1050,1282,1094,1199,902,294,231,708
ENSG00000027847.14,595,732,554,862,237,92,109,321
ENSG00000027869.13,6,9,9,9,317,127,113,307
ENSG00000028116.18,689,825,965,1057,322,112,144,418
ENSG00000028137.19,3,8,9,24,3,1,5,5
